info: MF21/FiniteHeadModel.lean:82:0: 'MF21Expansion.finite_head_model_error' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PhaseRotatedError.lean:132:0: 'MF21ActualBoundary.complexError_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/DiscretePowerLimits.lean:111:0: 'MF21DiscreteLimits.normalized_power_sum_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/DiscretePowerLimits.lean:113:0: 'MF21DiscreteLimits.polynomial_riemann_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/RealBoundaryError.lean:76:0: 'MF21ActualBoundary.realError_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/RealBoundaryError.lean:77:0: 'MF21ActualBoundary.endpoint_sensitive_error_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ExpansionEstimates.lean:127:0: 'MF21Expansion.expansion_assertions_of_tailAngle' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PhaseIndexing.lean:114:0: 'MF21Phase.indexed_phase_roots' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryPhase.lean:204:0: 'MF21ActualBoundary.determinant_realError' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryPhase.lean:205:0: 'MF21ActualBoundary.determinant_zero_iff_sine' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryPhase.lean:206:0: 'MF21ActualBoundary.complexError_im_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FirstColumnAsymptotics.lean:325:0: 'MF21FirstAsymptotics.value_rescaled' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FirstColumnAsymptotics.lean:326:0: 'MF21FirstAsymptotics.numerator_coeff_continuous' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FirstColumnAsymptotics.lean:328:0: 'MF21FirstAsymptotics.firstColumn_square_sum_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FirstColumnAsymptotics.lean:329:0: 'MF21FirstAsymptotics.inverse_column_square_sum_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FirstColumnAsymptotics.lean:330:0: 'MF21FirstAsymptotics.inverse_zero_zero_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PhaseErrorEstimate.lean:75:0: 'MF21Phase.phase_exponential_distance' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PhaseErrorEstimate.lean:76:0: 'MF21Phase.phase_cell_angle_linear_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundarySmooth.lean:55:0: 'MF21ActualBoundary.sineNormalizer_contDiffAt' depends on axioms: [propext, Classical.choice, Quot.sound]
